Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,34328,0,426823,97291.63,7.400%,1.16925,120.67,0.15,105679.4
TOTAL,500,34328,0,426823,97291.63,7.400%,1.16925,120.67,0.15,105679.4
